,Unnamed: 0.1,Unnamed: 0,제목,저자,초록,게재일,한 줄 요약,키워드
55,55,55,Can Large Language Models Assess Serendipity in Recommender Systems?,"['Yu Tokutake', 'Kazushi Okamoto']","Serendipity-oriented recommender systems aim to counteract over-specialization in user preferences. However, evaluating a user's serendipitous response towards a recommended item can be challenging because of its emotional nature. In this study, we address this issue by leveraging the rich knowledge of large language models (LLMs), which can perform a variety of tasks. First, this study explored the alignment between serendipitous evaluations made by LLMs and those made by humans. In this investigation, a binary classification task was given to the LLMs to predict whether a user would find the recommended item serendipitously. The predictive performances of three LLMs on a benchmark dataset in which humans assigned the ground truth of serendipitous items were measured. The experimental findings reveal that LLM-based assessment methods did not have a very high agreement rate with human assessments. However, they performed as well as or better than the baseline methods. Further validation results indicate that the number of user rating histories provided to LLM prompts should be carefully chosen to avoid both insufficient and excessive inputs and that the output of LLMs that show high classification performance is difficult to interpret.","Thu, 11 Apr 2024 06:22:56 UTC",": Serendipity-oriented recommender systems, large language models (LLMs), predictive performance, binary classification, benchmark dataset, user rating histories.

한국어 요약: 본 연구는 대형 언어 모델(Large Language Models, LLMs)의 풍부한 지식을 활용하여 사용자의 우연한 반응을 예측하는 이슈를 다루었으며, LLMs의 예측 성능은 인간의 평가와 높은 일치율을 보이지 않았지만, 기존 방법보다 나은 성과를 보여주었으며, 사용자 평가 히스토리의 양은 신중히 선택되어야 하며, 높은 분류 성능을 보이는 LLMs의 결과는 해석하기 어렵다는 결과를 보여주었습니다.","['Serendipity-oriented recommender systems', 'large language models (LLMs)', 'predictive performance', 'binary classification', 'benchmark dataset', 'user rating histories.']"
56,56,56,Interactive Prompt Debugging with Sequence Salience,"['Ian Tenney', 'Ryan Mullins', 'Bin Du', 'Shree Pandya', 'Minsuk Kahng', 'Lucas Dixon']","We present Sequence Salience, a visual tool for interactive prompt debugging with input salience methods. Sequence Salience builds on widely used salience methods for text classification and single-token prediction, and extends this to a system tailored for debugging complex LLM prompts. Our system is well-suited for long texts, and expands on previous work by 1) providing controllable aggregation of token-level salience to the word, sentence, or paragraph level, making salience over long inputs tractable; and 2) supporting rapid iteration where practitioners can act on salience results, refine prompts, and run salience on the new output. We include case studies showing how Sequence Salience can help practitioners work with several complex prompting strategies, including few-shot, chain-of-thought, and constitutional principles. Sequence Salience is built on the Learning Interpretability Tool, an open-source platform for ML model visualizations, and code, notebooks, and tutorials are available at http://goo.gle/sequence-salience.","Thu, 11 Apr 2024 06:22:56 UTC","본 연구는 입력 중요도 방법을 활용한 상호 작용형 프롬프트 디버깅을 위한 시각적 도구인 Sequence Salience를 제시하며, 이 시스템은 긴 텍스트에 적합하며 복잡한 LLM 프롬프트를 디버깅할 수 있도록 설계되었으며, 신속한 반복 및 복잡한 프롬프팅 전략과 관련된 사례 연구를 포함하고 있습니다.","['Sequence Salience', 'interactive prompt debugging', 'input salience methods', 'LLM prompts', 'long texts', 'aggregation', 'rapid iteration', 'case studies', 'complex prompting strategies', 'Learning Interpretability Tool', 'ML model visualizations.']"
57,57,57,Neural Fault Injection: Generating Software Faults from Natural Language,"['Domenico Cotroneo', 'Pietro Liguori']","Traditional software fault injection methods, while foundational, face limitations in adequately representing real-world faults, offering customization, and requiring significant manual effort and expertise. This paper introduces a novel methodology that harnesses the capabilities of Large Language Models (LLMs) augmented with Reinforcement Learning from Human Feedback (RLHF) to overcome these challenges. The usage of RLHF emphasizes an iterative refinement process, allowing testers to provide feedback on generated faults, which is then used to enhance the LLM's fault generation capabilities, ensuring the generation of fault scenarios that closely mirror actual operational risks. This innovative methodology aims to significantly reduce the manual effort involved in crafting fault scenarios as it allows testers to focus on higher-level testing strategies, hence paving the way to new possibilities for enhancing the dependability of software systems.","Thu, 11 Apr 2024 05:59:16 UTC","본 논문은 전통적인 소프트웨어 결함 삽입 방법의 한계를 극복하기 위해 Large Language Models (LLMs)와 Reinforcement Learning from Human Feedback (RLHF)를 결합한 혁신적인 방법론을 제시하며, 이를 통해 소프트웨어 시스템의 신뢰성을 향상시키는 새로운 가능성을 열어줍니다.","['software fault injection', 'traditional methods', 'limitations', 'Large Language Models (LLMs)', 'Reinforcement Learning from Human Feedback (RLHF)', 'iterative refinement process', 'testers', 'fault scenarios', 'operational risks', 'manual effort', 'dependability of software systems']"
58,58,58,Multimodal Emotion Recognition by Fusing Video Semantic in MOOC Learning Scenarios,"['Yuan Zhang', 'Xiaomei Tao', 'Hanxu Ai', 'Tao Chen', 'Yanling Gan']","In the Massive Open Online Courses (MOOC) learning scenario, the semantic information of instructional videos has a crucial impact on learners' emotional state. Learners mainly acquire knowledge by watching instructional videos, and the semantic information in the videos directly affects learners' emotional states. However, few studies have paid attention to the potential influence of the semantic information of instructional videos on learners' emotional states. To deeply explore the impact of video semantic information on learners' emotions, this paper innovatively proposes a multimodal emotion recognition method by fusing video semantic information and physiological signals. We generate video descriptions through a pre-trained large language model (LLM) to obtain high-level semantic information about instructional videos. Using the cross-attention mechanism for modal interaction, the semantic information is fused with the eye movement and PhotoPlethysmoGraphy (PPG) signals to obtain the features containing the critical information of the three modes. The accurate recognition of learners' emotional states is realized through the emotion classifier. The experimental results show that our method has significantly improved emotion recognition performance, providing a new perspective and efficient method for emotion recognition research in MOOC learning scenarios. The method proposed in this paper not only contributes to a deeper understanding of the impact of instructional videos on learners' emotional states but also provides a beneficial reference for future research on emotion recognition in MOOC learning scenarios.","Thu, 11 Apr 2024 05:44:27 UTC",": Massive Open Online Courses (MOOC), semantic information, emotional states, video descriptions, multimodal emotion recognition, physiological signals, eye movement, PhotoPlethysmoGraphy (PPG), emotion classifier, experimental results.

한줄 요약: 이 논문은 MOOC 학습 시나리오에서 비디오 의미 정보가 학습자의 감정 상태에 중요한 영향을 미치는 것을 탐구하고, 비디오 의미 정보와 생리 신호를 융합한 다중 모달 감정 인식 방법을 제안하여 감정 인식 성능을 획기적으로 향상시켰다.","['Massive Open Online Courses (MOOC)', 'semantic information', 'emotional states', 'video descriptions', 'multimodal emotion recognition', 'physiological signals', 'eye movement', 'PhotoPlethysmoGraphy (PPG)', 'emotion classifier', 'experimental results.']"
59,59,59,"""Confidently Nonsensical?'': A Critical Survey on the Perspectives and Challenges of 'Hallucinations' in NLP","['Pranav Narayanan Venkit', 'Tatiana Chakravorti', 'Vipul Gupta', 'Heidi Biggs', 'Mukund Srinath', 'Koustava Goswami', 'Sarah Rajtmajer', 'Shomir Wilson']","We investigate how hallucination in large language models (LLM) is characterized in peer-reviewed literature using a critical examination of 103 publications across NLP research. Through a comprehensive review of sociological and technological literature, we identify a lack of agreement with the term `hallucination.' Additionally, we conduct a survey with 171 practitioners from the field of NLP and AI to capture varying perspectives on hallucination. Our analysis underscores the necessity for explicit definitions and frameworks outlining hallucination within NLP, highlighting potential challenges, and our survey inputs provide a thematic understanding of the influence and ramifications of hallucination in society.","Thu, 11 Apr 2024 03:51:29 UTC",": hallucination, large language models, NLP research, sociological literature, technological literature, survey, practitioners, AI, definitions, frameworks, challenges, society.

한국어 요약: NLP 연구를 통해 대규모 언어 모델에서의 환각을 조사한 결과, 환각에 대한 명확한 정의와 프레임워크의 필요성을 강조하며, 사회적 영향과 결과를 이해할 수 있는 주제적 이해를 제공합니다.","['hallucination', 'large language models', 'NLP research', 'sociological literature', 'technological literature', 'survey', 'practitioners', 'AI', 'definitions', 'frameworks', 'challenges', 'society.']"
60,60,60,WESE: Weak Exploration to Strong Exploitation for LLM Agents,"['Xu Huang', 'Weiwen Liu', 'Xiaolong Chen', 'Xingmei Wang', 'Defu Lian', 'Yasheng Wang', 'Ruiming Tang', 'Enhong Chen']","Recently, large language models (LLMs) have demonstrated remarkable potential as an intelligent agent. However, existing researches mainly focus on enhancing the agent's reasoning or decision-making abilities through well-designed prompt engineering or task-specific fine-tuning, ignoring the procedure of exploration and exploitation. When addressing complex tasks within open-world interactive environments, these methods exhibit limitations. Firstly, the lack of global information of environments leads to greedy decisions, resulting in sub-optimal solutions. On the other hand, irrelevant information acquired from the environment not only adversely introduces noise, but also incurs additional cost. This paper proposes a novel approach, Weak Exploration to Strong Exploitation (WESE), to enhance LLM agents in solving open-world interactive tasks. Concretely, WESE involves decoupling the exploration and exploitation process, employing a cost-effective weak agent to perform exploration tasks for global knowledge. A knowledge graph-based strategy is then introduced to store the acquired knowledge and extract task-relevant knowledge, enhancing the stronger agent in success rate and efficiency for the exploitation task. Our approach is flexible enough to incorporate diverse tasks, and obtains significant improvements in both success rates and efficiency across four interactive benchmarks.","Thu, 11 Apr 2024 03:31:54 UTC","본 논문은 Weak Exploration to Strong Exploitation (WESE) 방법을 제안하여, LLM 에이전트의 성공률과 효율성을 향상시키는데 있어서 지식 그래프 기반 전략을 활용하는 방법을 제시하며, 이를 통해 네 가지 상호작용 벤치마크에서 성공률과 효율성을 크게 향상시킨다.","['large language models', 'intelligent agent', 'exploration', 'exploitation', 'open-world interactive tasks', 'Weak Exploration to Strong Exploitation (WESE)', 'knowledge graph-based strategy', 'success rate', 'efficiency']"
61,61,61,RiskLabs: Predicting Financial Risk Using Large Language Model Based on Multi-Sources Data,"['Yupeng Cao', 'Zhi Chen', 'Qingyun Pei', 'Fabrizio Dimino', 'Lorenzo Ausiello', 'Prashant Kumar', 'K.P. Subbalakshmi', 'Papa Momar Ndiaye']","The integration of Artificial Intelligence (AI) techniques, particularly large language models (LLMs), in finance has garnered increasing academic attention. Despite progress, existing studies predominantly focus on tasks like financial text summarization, question-answering (Q\&A), and stock movement prediction (binary classification), with a notable gap in the application of LLMs for financial risk prediction. Addressing this gap, in this paper, we introduce \textbf{RiskLabs}, a novel framework that leverages LLMs to analyze and predict financial risks. RiskLabs uniquely combines different types of financial data, including textual and vocal information from Earnings Conference Calls (ECCs), market-related time series data, and contextual news data surrounding ECC release dates. Our approach involves a multi-stage process: initially extracting and analyzing ECC data using LLMs, followed by gathering and processing time-series data before the ECC dates to model and understand risk over different timeframes. Using multimodal fusion techniques, RiskLabs amalgamates these varied data features for comprehensive multi-task financial risk prediction. Empirical experiment results demonstrate RiskLab's effectiveness in forecasting both volatility and variance in financial markets. Through comparative experiments, we demonstrate how different data sources contribute to financial risk assessment and discuss the critical role of LLMs in this context. Our findings not only contribute to the AI in finance application but also open new avenues for applying LLMs in financial risk assessment.","Thu, 11 Apr 2024 03:14:50 UTC","금융 분야에서 LLMs를 활용한 RiskLabs 프레임워크가 금융 위험을 분석하고 예측하는 데 효과적임을 입증하며, 다양한 데이터 소스를 결합하여 다중 과제 금융 위험 예측을 제시하고 있습니다.","['Artificial Intelligence', 'large language models', 'finance', 'RiskLabs', 'financial risk prediction', 'Earnings Conference Calls', 'market-related time series data', 'multimodal fusion techniques', 'volatility', 'variance.']"
62,62,62,Learning to Localize Objects Improves Spatial Reasoning in Visual-LLMs,"['Kanchana Ranasinghe', 'Satya Narayan Shukla', 'Omid Poursaeed', 'Michael S. Ryoo', 'Tsung-Yu Lin']","Integration of Large Language Models (LLMs) into visual domain tasks, resulting in visual-LLMs (V-LLMs), has enabled exceptional performance in vision-language tasks, particularly for visual question answering (VQA). However, existing V-LLMs (e.g. BLIP-2, LLaVA) demonstrate weak spatial reasoning and localization awareness. Despite generating highly descriptive and elaborate textual answers, these models fail at simple tasks like distinguishing a left vs right location. In this work, we explore how image-space coordinate based instruction fine-tuning objectives could inject spatial awareness into V-LLMs. We discover optimal coordinate representations, data-efficient instruction fine-tuning objectives, and pseudo-data generation strategies that lead to improved spatial awareness in V-LLMs. Additionally, our resulting model improves VQA across image and video domains, reduces undesired hallucination, and generates better contextual object descriptions. Experiments across 5 vision-language tasks involving 14 different datasets establish the clear performance improvements achieved by our proposed framework.","Thu, 11 Apr 2024 03:09:34 UTC",": Large Language Models, visual-LLMs, spatial reasoning, localization awareness, coordinate-based instruction, fine-tuning objectives, pseudo-data generation, VQA, image and video domains.

한줄 요약: 시각-언어 모델에 공간 인식을 주입하기 위한 이미지 공간 좌표 기반의 fine-tuning 목표와 pseudo-data 생성 전략을 탐구하여, 시각-언어 모델의 성능을 향상시키고 시각-언어 작업에서 공간 인식 능력을 향상시키는 프레임워크를 제안하였습니다.","['Large Language Models', 'visual-LLMs', 'spatial reasoning', 'localization awareness', 'coordinate-based instruction', 'fine-tuning objectives', 'pseudo-data generation', 'VQA', 'image and video domains.']"
63,63,63,CopilotCAD: Empowering Radiologists with Report Completion Models and Quantitative Evidence from Medical Image Foundation Models,"['Sheng Wang', 'Tianming Du', 'Katherine Fischer', 'Gregory E Tasian', 'Justin Ziemba', 'Joanie M Garratt', 'Hersh Sagreiya', 'Yong Fan']","Computer-aided diagnosis systems hold great promise to aid radiologists and clinicians in radiological clinical practice and enhance diagnostic accuracy and efficiency. However, the conventional systems primarily focus on delivering diagnostic results through text report generation or medical image classification, positioning them as standalone decision-makers rather than helpers and ignoring radiologists' expertise. This study introduces an innovative paradigm to create an assistive co-pilot system for empowering radiologists by leveraging Large Language Models (LLMs) and medical image analysis tools. Specifically, we develop a collaborative framework to integrate LLMs and quantitative medical image analysis results generated by foundation models with radiologists in the loop, achieving efficient and safe generation of radiology reports and effective utilization of computational power of AI and the expertise of medical professionals. This approach empowers radiologists to generate more precise and detailed diagnostic reports, enhancing patient outcomes while reducing the burnout of clinicians. Our methodology underscores the potential of AI as a supportive tool in medical diagnostics, promoting a harmonious integration of technology and human expertise to advance the field of radiology.","Thu, 11 Apr 2024 01:33:45 UTC","본 연구는 Large Language Models (LLMs)와 의료 이미지 분석 도구를 활용하여 방사선과 전문가들의 협업을 통해 더 정확하고 자세한 진단 보고서를 생성하는 방법을 소개하며, AI의 계산 능력과 의료 전문가의 전문 지식을 효과적으로 활용하여 환자 결과를 향상시키고 의료진의 탈진을 줄이는 방법을 제시합니다.","['Computer-aided diagnosis systems', 'radiologists', 'Large Language Models (LLMs)', 'medical image analysis', 'collaborative framework', 'radiology reports', 'AI', 'medical professionals.']"
64,64,64,JetMoE: Reaching Llama2 Performance with 0.1M Dollars,"['Yikang Shen', 'Zhen Guo', 'Tianle Cai', 'Zengyi Qin']","Large Language Models (LLMs) have achieved remarkable results, but their increasing resource demand has become a major obstacle to the development of powerful and accessible super-human intelligence. This report introduces JetMoE-8B, a new LLM trained with less than $0.1 million, using 1.25T tokens from carefully mixed open-source corpora and 30,000 H100 GPU hours. Despite its low cost, the JetMoE-8B demonstrates impressive performance, with JetMoE-8B outperforming the Llama2-7B model and JetMoE-8B-Chat surpassing the Llama2-13B-Chat model. These results suggest that LLM training can be much more cost-effective than generally thought. JetMoE-8B is based on an efficient Sparsely-gated Mixture-of-Experts (SMoE) architecture, composed of attention and feedforward experts. Both layers are sparsely activated, allowing JetMoE-8B to have 8B parameters while only activating 2B for each input token, reducing inference computation by about 70% compared to Llama2-7B. Moreover, JetMoE-8B is highly open and academia-friendly, using only public datasets and training code. All training parameters and data mixtures have been detailed in this report to facilitate future efforts in the development of open foundation models. This transparency aims to encourage collaboration and further advancements in the field of accessible and efficient LLMs. The model weights are publicly available at this https URL.","Thu, 11 Apr 2024 00:52:39 UTC",": Large Language Models (LLMs), JetMoE-8B, cost-effective training, Sparsely-gated Mixture-of-Experts (SMoE) architecture, open foundation models.

한줄 요약: 젯모이-8B는 저렴한 가격에 훈련된 새로운 대형 언어 모델로, 놀라운 성능을 보여주며, 투명성을 통해 협력과 발전을 촉구하는 데 도움이 되고 있습니다.","['Large Language Models (LLMs)', 'JetMoE-8B', 'cost-effective training', 'Sparsely-gated Mixture-of-Experts (SMoE) architecture', 'open foundation models.']"
65,65,65,ChatGPT Can Predict the Future when it Tells Stories Set in the Future About the Past,"['Van Pham', 'Scott Cunningham']","This study investigates whether OpenAI's ChatGPT-3.5 and ChatGPT-4 can accurately forecast future events using two distinct prompting strategies. To evaluate the accuracy of the predictions, we take advantage of the fact that the training data at the time of experiment stopped at September 2021, and ask about events that happened in 2022 using ChatGPT-3.5 and ChatGPT-4. We employed two prompting strategies: direct prediction and what we call future narratives which ask ChatGPT to tell fictional stories set in the future with characters that share events that have happened to them, but after ChatGPT's training data had been collected. Concentrating on events in 2022, we prompted ChatGPT to engage in storytelling, particularly within economic contexts. After analyzing 100 prompts, we discovered that future narrative prompts significantly enhanced ChatGPT-4's forecasting accuracy. This was especially evident in its predictions of major Academy Award winners as well as economic trends, the latter inferred from scenarios where the model impersonated public figures like the Federal Reserve Chair, Jerome Powell. These findings indicate that narrative prompts leverage the models' capacity for hallucinatory narrative construction, facilitating more effective data synthesis and extrapolation than straightforward predictions. Our research reveals new aspects of LLMs' predictive capabilities and suggests potential future applications in analytical contexts.","Thu, 11 Apr 2024 00:03:03 UTC","이 연구는 ChatGPT-3.5 및 ChatGPT-4가 미래 이벤트를 정확하게 예측할 수 있는지를 두 가지 다른 프롬프팅 전략을 사용하여 조사하였으며, 미래 서술을 통해 모델의 예측 정확도를 향상시키는 것을 발견하였습니다.","['OpenAI', 'ChatGPT-3.5', 'ChatGPT-4', 'forecasting', 'prompting strategies', 'training data', 'future events', 'narratives', 'economic contexts', 'Academy Award winners', 'economic trends', 'predictive capabilities', 'LLMs.']"
66,66,66,BISCUIT: Scaffolding LLM-Generated Code with Ephemeral UIs in Computational Notebooks,"['Ruijia Cheng', 'Titus Barik', 'Alan Leung', 'Fred Hohman', 'Jeffrey Nichols']","Novices frequently engage with machine learning tutorials in computational notebooks and have been adopting code generation technologies based on large language models (LLMs). However, they encounter difficulties in understanding and working with code produced by LLMs. To mitigate these challenges, we introduce a novel workflow into computational notebooks that augments LLM-based code generation with an additional ephemeral UI step, offering users UI-based scaffolds as an intermediate stage between user prompts and code generation. We present this workflow in BISCUIT, an extension for JupyterLab that provides users with ephemeral UIs generated by LLMs based on the context of their code and intentions, scaffolding users to understand, guide, and explore with LLM-generated code. Through 10 user studies where novices used BISCUIT for machine learning tutorials, we discover that BISCUIT offers user semantic representation of code to aid their understanding, reduces the complexity of prompt engineering, and creates a playground for users to explore different variables and iterate on their ideas. We discuss the implications of our findings for UI-centric interactive paradigm in code generation LLMs.","Wed, 10 Apr 2024 23:28:09 UTC",": machine learning tutorials, computational notebooks, code generation technologies, large language models (LLMs), UI-based scaffolds, BISCUIT, JupyterLab, user studies, novices, semantic representation, prompt engineering, interactive paradigm.

Summary in Korean: 컴퓨터 노트북에서의 기계 학습 튜토리얼에서 대규모 언어 모델을 기반으로 한 코드 생성 기술을 사용하는 초보자들이 LLM이 생성한 코드를 이해하고 작업하는 데 어려움을 겪는 문제를 해결하기 위해, BISCUIT을 소개하고, LLM에 의해 생성된 코드에 대한 사용자 의도와 이해를 돕는 UI 기반의 지원을 제공하는 연구입니다.","['machine learning tutorials', 'computational notebooks', 'code generation technologies', 'large language models (LLMs)', 'UI-based scaffolds', 'BISCUIT', 'JupyterLab', 'user studies', 'novices', 'semantic representation', 'prompt engineering', 'interactive paradigm.']"
67,67,67,Learn from Failure: Fine-Tuning LLMs with Trial-and-Error Data for Intuitionistic Propositional Logic Proving,"['Chenyang An', 'Zhibo Chen', 'Qihao Ye', 'Emily First', 'Letian Peng', 'Jiayun Zhang', 'Zihan Wang', 'Sorin Lerner', 'Jingbo Shang']","Recent advances in Automated Theorem Proving have shown the effectiveness of leveraging a (large) language model that generates tactics (i.e. proof steps) to search through proof states. The current model, while trained solely on successful proof paths, faces a discrepancy at the inference stage, as it must sample and try various tactics at each proof state until finding success, unlike its training which does not incorporate learning from failed attempts. Intuitively, a tactic that leads to a failed search path would indicate that similar tactics should receive less attention during the following trials. In this paper, we demonstrate the benefit of training models that additionally learn from failed search paths. Facing the lack of such trial-and-error data in existing open-source theorem-proving datasets, we curate a dataset on intuitionistic propositional logic theorems and formalize it in Lean, such that we can reliably check the correctness of proofs. We compare our model trained on relatively short trial-and-error information (TrialMaster) with models trained only on the correct paths and discover that the former solves more unseen theorems with lower trial searches.","Wed, 10 Apr 2024 23:01:45 UTC","최근 자동 증명에 대한 최신 연구에서는 (대규모) 언어 모델을 활용하여 전술(즉, 증명 단계)을 생성하고 증명 상태를 탐색하는 효과를 보여주었으며, 실패한 탐색 경로에서 학습하는 모델의 이점을 입증하였습니다.","['Automated Theorem Proving', 'language model', 'tactics', 'proof states', 'inference', 'training', 'failed attempts', 'trial-and-error data', 'intuitionistic propositional logic', 'Lean', 'correctness of proofs', 'TrialMaster.']"
68,68,68,LLMs in Biomedicine: A study on clinical Named Entity Recognition,"['Masoud Monajatipoor', 'Jiaxin Yang', 'Joel Stremmel', 'Melika Emami', 'Fazlolah Mohaghegh', 'Mozhdeh Rouhsedaghat', 'Kai-Wei Chang']","Large Language Models (LLMs) demonstrate remarkable versatility in various NLP tasks but encounter distinct challenges in biomedicine due to medical language complexities and data scarcity. This paper investigates the application of LLMs in the medical domain by exploring strategies to enhance their performance for the Named-Entity Recognition (NER) task. Specifically, our study reveals the importance of meticulously designed prompts in biomedicine. Strategic selection of in-context examples yields a notable improvement, showcasing ~15-20\% increase in F1 score across all benchmark datasets for few-shot clinical NER. Additionally, our findings suggest that integrating external resources through prompting strategies can bridge the gap between general-purpose LLM proficiency and the specialized demands of medical NER. Leveraging a medical knowledge base, our proposed method inspired by Retrieval-Augmented Generation (RAG) can boost the F1 score of LLMs for zero-shot clinical NER. We will release the code upon publication.","Wed, 10 Apr 2024 22:26:26 UTC",": Large Language Models, NLP tasks, biomedicine, Named-Entity Recognition (NER), prompts, in-context examples, F1 score, few-shot clinical NER, external resources, medical knowledge base, Retrieval-Augmented Generation (RAG), zero-shot clinical NER.

한줄 요약: 의료 분야에서 LLMs의 성능을 향상시키기 위해 설계된 프롬프트의 중요성을 밝히고, 외부 자원을 활용한 전략적 선택으로 의료 NER 작업의 성능을 향상시키는 연구 결과를 발표한 논문입니다.","['Large Language Models', 'NLP tasks', 'biomedicine', 'Named-Entity Recognition (NER)', 'prompts', 'in-context examples', 'F1 score', 'few-shot clinical NER', 'external resources', 'medical knowledge base', 'Retrieval-Augmented Generation (RAG)', 'zero-shot clinical NER.']"
69,69,69,"""We Need Structured Output"": Towards User-centered Constraints on Large Language Model Output","['Michael Xieyang Liu', 'Frederick Liu', 'Alexander J. Fiannaca', 'Terry Koo', 'Lucas Dixon', 'Michael Terry', 'Carrie J. Cai']","Large language models can produce creative and diverse responses. However, to integrate them into current developer workflows, it is essential to constrain their outputs to follow specific formats or standards. In this work, we surveyed 51 experienced industry professionals to understand the range of scenarios and motivations driving the need for output constraints from a user-centered perspective. We identified 134 concrete use cases for constraints at two levels: low-level, which ensures the output adhere to a structured format and an appropriate length, and high-level, which requires the output to follow semantic and stylistic guidelines without hallucination. Critically, applying output constraints could not only streamline the currently repetitive process of developing, testing, and integrating LLM prompts for developers, but also enhance the user experience of LLM-powered features and applications. We conclude with a discussion on user preferences and needs towards articulating intended constraints for LLMs, alongside an initial design for a constraint prototyping tool.","Wed, 10 Apr 2024 21:37:07 UTC",": Large language models, creative responses, output constraints, user-centered perspective, use cases, structured format, semantic guidelines, stylistic guidelines, user experience, constraint prototyping tool.

한줄 요약: 대형 언어 모델은 창의적이고 다양한 응답을 생성할 수 있지만, 특정 형식이나 표준을 따르도록 출력을 제한하는 것이 중요하며 이를 통해 개발자의 작업을 효율적으로 할 수 있고 사용자 경험을 향상시킬 수 있다.","['Large language models', 'creative responses', 'output constraints', 'user-centered perspective', 'use cases', 'structured format', 'semantic guidelines', 'stylistic guidelines', 'user experience', 'constraint prototyping tool.']"
70,70,70,Sandwich attack: Multi-language Mixture Adaptive Attack on LLMs,"['Bibek Upadhayay', 'Vahid Behzadan']","Large Language Models (LLMs) are increasingly being developed and applied, but their widespread use faces challenges. These include aligning LLMs' responses with human values to prevent harmful outputs, which is addressed through safety training methods. Even so, bad actors and malicious users have succeeded in attempts to manipulate the LLMs to generate misaligned responses for harmful questions such as methods to create a bomb in school labs, recipes for harmful drugs, and ways to evade privacy rights. Another challenge is the multilingual capabilities of LLMs, which enable the model to understand and respond in multiple languages. Consequently, attackers exploit the unbalanced pre-training datasets of LLMs in different languages and the comparatively lower model performance in low-resource languages than high-resource ones. As a result, attackers use a low-resource languages to intentionally manipulate the model to create harmful responses. Many of the similar attack vectors have been patched by model providers, making the LLMs more robust against language-based manipulation. In this paper, we introduce a new black-box attack vector called the \emph{Sandwich attack}: a multi-language mixture attack, which manipulates state-of-the-art LLMs into generating harmful and misaligned responses. Our experiments with five different models, namely Google's Bard, Gemini Pro, LLaMA-2-70-B-Chat, GPT-3.5-Turbo, GPT-4, and Claude-3-OPUS, show that this attack vector can be used by adversaries to generate harmful responses and elicit misaligned responses from these models. By detailing both the mechanism and impact of the Sandwich attack, this paper aims to guide future research and development towards more secure and resilient LLMs, ensuring they serve the public good while minimizing potential for misuse.","Tue, 9 Apr 2024 18:29:42 UTC ",": Large Language Models, safety training methods, harmful outputs, multilingual capabilities, low-resource languages, black-box attack, Sandwich attack, model providers, public good.

요약: 대형 언어 모델(Large Language Models)은 안전 훈련 방법을 통해 인간 가치와 일치시키는 것에 대한 도전과 다국어 능력, 낮은 자원 언어, 샌드위치 공격과 같은 공격에 대응해야 합니다.","['Large Language Models', 'safety training methods', 'harmful outputs', 'multilingual capabilities', 'low-resource languages', 'black-box attack', 'Sandwich attack', 'model providers', 'public good.']"
71,71,71,Explaining EDA synthesis errors with LLMs,"['Siyu Qiu', 'Benjamin Tan', 'Hammond Pearce']","Training new engineers in digital design is a challenge, particularly when it comes to teaching the complex electronic design automation (EDA) tooling used in this domain. Learners will typically deploy designs in the Verilog and VHDL hardware description languages to Field Programmable Gate Arrays (FPGAs) from Altera (Intel) and Xilinx (AMD) via proprietary closed-source toolchains (Quartus Prime and Vivado, respectively). These tools are complex and difficult to use -- yet, as they are the tools used in industry, they are an essential first step in this space. In this work, we examine how recent advances in artificial intelligence may be leveraged to address aspects of this challenge. Specifically, we investigate if Large Language Models (LLMs), which have demonstrated text comprehension and question-answering capabilities, can be used to generate novice-friendly explanations of compile-time synthesis error messages from Quartus Prime and Vivado. To perform this study we generate 936 error message explanations using three OpenAI LLMs over 21 different buggy code samples. These are then graded for relevance and correctness, and we find that in approximately 71% of cases the LLMs give correct & complete explanations suitable for novice learners.","Sun, 7 Apr 2024 07:12:16 UTC ",": digital design, engineering training, electronic design automation (EDA), Verilog, VHDL, Field Programmable Gate Arrays (FPGAs), Quartus Prime, Vivado, artificial intelligence, Large Language Models (LLMs), error messages.

한국어 요약: 새로운 엔지니어들을 디지털 디자인에 훈련하는 것은 어려운 과제이며, 이 연구에서는 최근 인공지능의 발전을 활용하여 Quartus Prime와 Vivado로부터 컴파일 시간 합성 오류 메시지에 대한 초보자 친화적 설명을 생성할 수 있는지 조사하였고, 결과적으로 LLMs가 약 71%의 경우에 정확하고 완전한 설명을 제공할 수 있음을 발견하였습니다.","['digital design', 'engineering training', 'electronic design automation (EDA)', 'Verilog', 'VHDL', 'Field Programmable Gate Arrays (FPGAs)', 'Quartus Prime', 'Vivado', 'artificial intelligence', 'Large Language Models (LLMs)', 'error messages.']"
